timestamp,patient_count,icu_admissions,ventilators_in_use,staff_on_duty,pollen_count
2025-09-09 15:45:57.188283,91,14,10,37,11.552036026493212
2025-09-08 15:45:57.188295,74,11,8,35,47.374359379931704
2025-09-07 15:45:57.188297,103,15,11,31,41.39386682149086
2025-09-06 15:45:57.188298,103,15,11,37,79.56227429915909
2025-09-05 15:45:57.188299,82,12,9,39,51.64441881070079
2025-09-04 15:45:57.188300,121,18,13,33,32.879541495626455
2025-09-03 15:45:57.188301,99,15,10,35,47.052637914559796
2025-09-02 15:45:57.188302,78,12,8,35,62.56816721277593
2025-09-01 15:45:57.188303,91,14,10,33,73.54565435569413
2025-08-31 15:45:57.188305,103,15,11,33,30.14597541282199
2025-08-30 15:45:57.188306,111,17,12,29,81.45601029163731
2025-08-29 15:45:57.188307,94,14,10,33,39.53984878682323
2025-08-28 15:45:57.188308,89,13,9,38,43.85895851480619
2025-08-27 15:45:57.188309,97,15,10,34,31.753122266319775
2025-08-26 15:45:57.188310,93,14,10,38,58.18670755148956
2025-08-25 15:45:57.188311,104,16,11,38,49.143526144602724
2025-08-24 15:45:57.188313,88,13,9,29,60.55705571214318
2025-08-23 15:45:57.188314,96,14,10,34,34.97831578327021
2025-08-22 15:45:57.188315,97,15,10,35,22.183559628218653
2025-08-21 15:45:57.188316,92,14,10,31,54.23632614776645
2025-08-20 15:45:57.188317,92,14,10,39,55.610160252406686
2025-08-19 15:45:57.188318,98,15,10,31,54.33416978247781
2025-08-18 15:45:57.188319,92,14,10,41,48.44520217640875
2025-08-17 15:45:57.188320,92,14,10,33,79.32652985606325
2025-08-16 15:45:57.188321,88,13,9,38,51.93015314048558
2025-08-15 15:45:57.188323,108,16,11,35,63.74664664044212
2025-08-14 15:45:57.188324,100,15,11,29,75.935850987234
2025-08-13 15:45:57.188325,104,16,11,34,64.70804355411693
2025-08-12 15:45:57.188327,106,16,11,37,85.2393241389064
2025-08-11 15:45:57.188328,100,15,11,37,56.33771954513468
